day,day_type,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_abs,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal
2023-07-01,weekend,Noforecast,EV,73,0,843.2769999999999,0.0,4808.702476322605,3807.9696805586627,1000.7327957639427,20.81086947448744,86.514023,843.2769986999999,0.9583333333333334
2023-07-01,weekend,Perfect,EV,73,73,843.2769999999999,843.2769999999999,4808.702476322605,2712.5022572658027,2096.200219056803,43.591805260945264,70.323636,843.2769976499999,0.9895833333333334
2023-07-01,weekend,Persistence,EV,73,80,843.2769999999999,914.388,4808.702476322605,3552.5301093641233,1256.1723669584821,26.122896418393598,94.738649,843.27699975,0.9895833333333334
2023-07-01,weekend,Statistic,EV,73,27,843.2769999999999,212.777,4808.702476322605,3528.680643206421,1280.0218331161846,26.61886110481647,81.417282,843.27699925,0.9895833333333334
2023-07-01,weekend,TCN,EV,73,55,843.2769999999999,458.23762500196625,4808.702476322605,3112.0142561784655,1696.68822014414,35.28370134144088,64.973296,843.27700005,0.9895833333333334
2023-07-01,weekend,Transformer,EV,73,48,843.2769999999999,442.5133213678706,4808.702476322605,3128.4993326407957,1680.2031436818097,34.94088378216163,73.736316,843.276999125,0.9895833333333334
2023-07-01,weekend,iTransformer,EV,73,47,843.2769999999999,378.31258431362113,4808.702476322605,3084.7522975393167,1723.9501787832887,35.85063096067565,69.169809,843.27699975,0.9895833333333334
2023-07-02,weekend,GMM,Charger,79,53,848.0269999999999,582.076406149058,4215.890581531053,2665.2464763612097,1550.644105169843,36.78093810031255,60.25442,773.946715025,0.9791666666666666
2023-07-02,weekend,LSTM,Charger,79,29,848.0269999999999,146.18188810972603,4215.890581531053,3295.6746553509342,920.2159261801185,21.827319954919957,59.588059,744.9865450249999,0.9791666666666666
2023-07-02,weekend,Noforecast,Charger,79,0,848.0269999999999,0.0,4215.890581531053,3374.1657033740516,841.7248781570011,19.965529509812807,73.212019,750.983999925,0.9583333333333334
2023-07-02,weekend,Perfect,Charger,79,79,848.0269999999999,848.0269999999999,4215.890581531053,2484.240896627469,1731.6496849035839,41.074350754964655,64.027692,752.2791530000001,0.9791666666666666
2023-07-02,weekend,Persistence,Charger,79,73,848.0269999999999,843.2769999999999,4215.890581531053,2861.852139110676,1354.0384424203767,32.117494897807354,70.813292,798.99705775,0.9791666666666666
2023-07-02,weekend,Statistic,Charger,79,73,848.0269999999999,559.1479999999999,4215.890581531053,2853.6641514216753,1362.2264301093774,32.31171217006937,71.801649,798.776436,0.9791666666666666
2023-07-02,weekend,TCN,Charger,79,55,848.0269999999999,506.8822500976632,4215.890581531053,2893.9292025181867,1321.961379012866,31.35663398865488,54.661476,768.9694717499999,0.9791666666666666
2023-07-02,weekend,Transformer,Charger,79,48,848.0269999999999,391.15627693788497,4215.890581531053,2746.5882544001197,1469.302327130933,34.85152896442909,53.110728,733.7068305,0.9791666666666666
2023-07-02,weekend,iTransformer,Charger,79,47,848.0269999999999,365.52210823245315,4215.890581531053,2822.340490336528,1393.5500911945246,33.05470254136529,57.988013,755.05982475,0.9791666666666666
2023-07-02,weekend,GMM,EV,79,53,848.0269999999999,582.076406149058,4215.890581531053,3234.1372853386056,981.7532961924471,23.286972875750283,68.501351,848.02700025,0.9791666666666666
2023-07-02,weekend,LSTM,EV,79,29,848.0269999999999,146.18188810972603,4215.890581531053,4073.744449152989,142.1461323780636,3.3716750857049402,73.532438,848.02699925,0.9791666666666666
2023-07-02,weekend,Noforecast,EV,79,0,848.0269999999999,0.0,4215.890581531053,4027.1739242414305,188.71665728962216,4.476317723148483,77.703561,848.0269999249999,0.9583333333333334
2023-07-02,weekend,Perfect,EV,79,79,848.0269999999999,848.0269999999999,4215.890581531053,2684.0505423365375,1531.8400391945152,36.33490977932849,62.65125,848.027,0.9791666666666666
2023-07-02,weekend,Persistence,EV,79,73,848.0269999999999,843.2769999999999,4215.890581531053,3257.279959740014,958.6106217910387,22.738033714406967,74.527569,848.026999975,0.9791666666666666
2023-07-02,weekend,Statistic,EV,79,73,848.0269999999999,559.1479999999999,4215.890581531053,3102.284920780443,1113.6056607506098,26.414482046310372,70.272093,848.027,0.9791666666666666
2023-07-02,weekend,TCN,EV,79,55,848.0269999999999,506.8822500976632,4215.890581531053,3406.613977432858,809.2766040981946,19.195863565422417,63.539812,848.027,0.9791666666666666
2023-07-02,weekend,Transformer,EV,79,48,848.0269999999999,391.15627693788497,4215.890581531053,3370.964496870218,844.9260846608345,20.041461426021854,70.807339,848.0270005,0.9791666666666666
2023-07-02,weekend,iTransformer,EV,79,47,848.0269999999999,365.52210823245315,4215.890581531053,3294.0127885955776,921.8777929354751,21.866739069890276,69.504068,848.0269995000001,0.9791666666666666
2023-07-03,weekday,GMM,Charger,182,138,2538.6529999999993,1490.7504538244152,12678.130390702663,8012.26533362431,4665.865057078353,36.802469396434056,262.01235,2288.8248245,0.9791666666666666
2023-07-03,weekday,LSTM,Charger,182,46,2538.6529999999993,586.2408392066797,12678.130390702663,7556.924049273138,5121.206341429525,40.39401854697041,245.94607,2164.9658902499996,0.9791666666666666
2023-07-03,weekday,Noforecast,Charger,182,0,2538.6529999999993,0.0,12678.130390702663,8767.686332680094,3910.444058022569,30.844011991628044,251.49621,2188.099997775,0.9583333333333334
2023-07-03,weekday,Perfect,Charger,182,182,2538.6529999999993,2538.6529999999993,12678.130390702663,7428.782029517615,5249.348361185048,41.404751327014175,251.48081,2270.5119967499995,0.9791666666666666
2023-07-03,weekday,Persistence,Charger,182,177,2538.6529999999993,2564.156,12678.130390702663,8012.732426625587,4665.397964077076,36.79878515446081,268.5728,2326.7879952499998,0.9791666666666666
2023-07-03,weekday,Statistic,Charger,182,230,2538.6529999999993,2124.4889999999996,12678.130390702663,7955.3887753626095,4722.741615340054,37.25108884195901,259.30997,2271.508281925,0.9791666666666666
2023-07-03,weekday,TCN,Charger,182,118,2538.6529999999993,1374.229934422907,12678.130390702663,7265.023563394719,5413.1068273079445,42.696412329672626,241.74292,2218.09413625,0.9791666666666666
2023-07-03,weekday,Transformer,Charger,182,90,2538.6529999999993,1046.1474390304513,12678.130390702663,7519.91535816859,5158.2150325340735,40.68592823683831,249.53974,2215.8681974999995,0.9791666666666666
2023-07-03,weekday,iTransformer,Charger,182,95,2538.6529999999993,938.505587526651,12678.130390702663,7540.284296160064,5137.8460945425995,40.52526623570909,247.80198,2203.25674325,0.9791666666666666
2023-07-03,weekday,GMM,EV,182,138,2538.6529999999993,1490.7504538244152,12678.130390702663,8927.94139972878,3750.188990973884,29.579984393629793,258.56831,2538.6530015,0.9791666666666666
2023-07-03,weekday,LSTM,EV,182,46,2538.6529999999993,586.2408392066797,12678.130390702663,10580.905316761864,2097.225073940799,16.542068974765954,257.93205,2538.65300025,0.9791666666666666
2023-07-03,weekday,Noforecast,EV,182,0,2538.6529999999993,0.0,12678.130390702663,12067.165518740681,610.9648719619818,4.819045499090501,283.45146,2538.6529980249998,0.9583333333333334
2023-07-03,weekday,Perfect,EV,182,182,2538.6529999999993,2538.6529999999993,12678.130390702663,8180.476084336699,4497.654306365964,35.47569056131697,245.24057,2538.6529894999994,0.9791666666666666
2023-07-03,weekday,Persistence,EV,182,177,2538.6529999999993,2564.156,12678.130390702663,9110.287456718941,3567.842933983722,28.14171194043052,269.16763,2538.6529972499998,0.9791666666666666
2023-07-03,weekday,Statistic,EV,182,230,2538.6529999999993,2124.4889999999996,12678.130390702663,9040.643807564038,3637.486583138625,28.691033070665746,260.55754,2538.652995,0.9791666666666666
2023-07-03,weekday,TCN,EV,182,118,2538.6529999999993,1374.229934422907,12678.130390702663,9160.653548623757,3517.476842078906,27.744444438419723,252.15748,2538.6529935,0.9791666666666666
2023-07-03,weekday,Transformer,EV,182,90,2538.6529999999993,1046.1474390304513,12678.130390702663,9982.675545077913,2695.4548456247503,21.260665118268747,254.39039,2538.652999,0.9791666666666666
2023-07-03,weekday,iTransformer,EV,182,95,2538.6529999999993,938.505587526651,12678.130390702663,9816.144949796404,2861.985440906259,22.57419156222796,252.78646,2538.6529960000003,0.9791666666666666
