day,method,case,t_idx,load_kw
2023-07-01,Noforecast,EV,31,22.503227
2023-07-01,Noforecast,EV,32,24.074227
2023-07-01,Noforecast,EV,33,24.074227
2023-07-01,Noforecast,EV,34,29.308273
2023-07-01,Noforecast,EV,35,29.308273
2023-07-01,Noforecast,EV,36,41.915068
2023-07-01,Noforecast,EV,37,43.149614
2023-07-01,Noforecast,EV,38,45.246814
2023-07-01,Noforecast,EV,39,45.246814
2023-07-01,Noforecast,EV,40,45.246814
2023-07-01,Noforecast,EV,41,51.516528
2023-07-01,Noforecast,EV,42,57.003861
2023-07-01,Noforecast,EV,43,57.003861
2023-07-01,Noforecast,EV,44,57.003861
2023-07-01,Noforecast,EV,45,57.698
2023-07-01,Noforecast,EV,46,57.698
2023-07-01,Noforecast,EV,47,57.765194
2023-07-01,Noforecast,EV,48,57.765194
2023-07-01,Noforecast,EV,49,57.765194
2023-07-01,Noforecast,EV,50,62.255652
2023-07-01,Noforecast,EV,51,67.960985
2023-07-01,Noforecast,EV,52,70.466
2023-07-01,Noforecast,EV,53,73.862894
2023-07-01,Noforecast,EV,54,79.994094
2023-07-01,Noforecast,EV,55,86.452094
2023-07-01,Noforecast,EV,56,86.452094
2023-07-01,Noforecast,EV,57,86.452094
2023-07-01,Noforecast,EV,58,86.514023
2023-07-01,Noforecast,EV,59,86.514023
2023-07-01,Noforecast,EV,60,86.514023
2023-07-01,Noforecast,EV,61,86.514023
2023-07-01,Noforecast,EV,62,86.514023
2023-07-01,Noforecast,EV,63,86.514023
2023-07-01,Noforecast,EV,64,86.514023
2023-07-01,Noforecast,EV,65,42.916386
2023-07-01,Noforecast,EV,66,42.916386
2023-07-01,Noforecast,EV,67,42.916386
2023-07-01,Noforecast,EV,68,47.808386
2023-07-01,Noforecast,EV,69,47.808386
2023-07-01,Noforecast,EV,70,47.808386
2023-07-01,Noforecast,EV,71,47.808386
2023-07-01,Noforecast,EV,72,47.808386
2023-07-01,Noforecast,EV,73,44.666842
2023-07-01,Noforecast,EV,74,47.651614
2023-07-01,Noforecast,EV,75,47.808386
2023-07-01,Noforecast,EV,76,42.768
2023-07-01,Noforecast,EV,77,39.716
2023-07-01,Noforecast,EV,78,39.676
2023-07-01,Noforecast,EV,79,46.2
2023-07-01,Noforecast,EV,80,39.6
2023-07-01,Noforecast,EV,81,33.0
2023-07-01,Noforecast,EV,82,33.0
2023-07-01,Noforecast,EV,83,19.852
2023-07-01,Noforecast,EV,84,26.4
2023-07-01,Noforecast,EV,85,39.6
2023-07-01,Noforecast,EV,86,39.6
2023-07-01,Noforecast,EV,87,39.6
2023-07-01,Noforecast,EV,88,36.132
2023-07-01,Noforecast,EV,89,26.4
2023-07-01,Noforecast,EV,90,13.2
2023-07-01,Noforecast,EV,91,13.2
2023-07-01,Noforecast,EV,92,0.544
2023-07-01,Noforecast,EV,93,4.788
2023-07-01,Noforecast,EV,94,6.6
2023-07-01,Noforecast,EV,95,0.0
2023-07-01,Noforecast,EV,96,0.0
2023-07-01,Noforecast,Charger,1,0.0
2023-07-01,Noforecast,Charger,2,0.0
2023-07-01,Noforecast,Charger,3,0.0
2023-07-01,Noforecast,Charger,4,4.2535
2023-07-01,Noforecast,Charger,5,4.2535
2023-07-01,Noforecast,Charger,6,5.3966981
2023-07-01,Noforecast,Charger,7,5.3966981
2023-07-01,Noforecast,Charger,8,5.3966981
2023-07-01,Noforecast,Charger,9,5.3966981
2023-07-01,Noforecast,Charger,10,5.3966981
2023-07-01,Noforecast,Charger,11,5.3966981
2023-07-01,Noforecast,Charger,12,6.4551662
2023-07-01,Noforecast,Charger,13,6.4551662
2023-07-01,Noforecast,Charger,14,6.4551662
2023-07-01,Noforecast,Charger,15,6.4551662
2023-07-01,Noforecast,Charger,16,6.4551662
2023-07-01,Noforecast,Charger,17,6.4551662
2023-07-01,Noforecast,Charger,18,10.995819
2023-07-01,Noforecast,Charger,19,10.995819
2023-07-01,Noforecast,Charger,20,10.995819
2023-07-01,Noforecast,Charger,21,10.995819
2023-07-01,Noforecast,Charger,22,10.995819
2023-07-01,Noforecast,Charger,23,10.995819
2023-07-01,Noforecast,Charger,24,10.995819
2023-07-01,Noforecast,Charger,25,10.995819
2023-07-01,Noforecast,Charger,26,11.732584
2023-07-01,Noforecast,Charger,27,11.732584
2023-07-01,Noforecast,Charger,28,13.977175
2023-07-01,Noforecast,Charger,29,18.908044
2023-07-01,Noforecast,Charger,30,22.312088
2023-07-01,Noforecast,Charger,31,22.312088
2023-07-01,Noforecast,Charger,32,23.883088
2023-07-01,Noforecast,Charger,33,23.883088
2023-07-01,Noforecast,Charger,34,29.078905
2023-07-01,Noforecast,Charger,35,29.078905
2023-07-01,Noforecast,Charger,36,41.857726
2023-07-01,Noforecast,Charger,37,43.092272
2023-07-01,Noforecast,Charger,38,45.189472
2023-07-01,Noforecast,Charger,39,45.189472
2023-07-01,Noforecast,Charger,40,45.189472
2023-07-01,Noforecast,Charger,41,51.459186
2023-07-01,Noforecast,Charger,42,56.946519
2023-07-01,Noforecast,Charger,43,56.946519
2023-07-01,Noforecast,Charger,44,56.946519
2023-07-01,Noforecast,Charger,45,56.946519
2023-07-01,Noforecast,Charger,46,56.946519
2023-07-01,Noforecast,Charger,47,56.946519
