target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-07-22,ConformalRobust,6.0,7.0,6.0,0.16666666666666666,25.333333333333332,15.5,6.542000000000001,,,
2023-07-23,Persistence,4.0,3.0,2.0,0.5,11.5,16.0,10.306000000000001,,,
2023-07-23,HistoricalMedian,4.0,6.0,3.0,0.6666666666666666,11.0,13.0,4.482666666666667,1.0,1.0,1.0
2023-07-23,ConformalRobust,4.0,6.0,3.0,0.6666666666666666,6.0,7.333333333333333,7.891666666666666,,,
2023-07-24,Persistence,11.0,11.0,9.0,0.6666666666666666,6.888888888888889,9.11111111111111,6.100666666666666,,,
2023-07-24,HistoricalMedian,11.0,11.0,8.0,1.0,2.875,6.5,8.0790625,1.0,1.0,0.75
2023-07-24,ConformalRobust,11.0,11.0,8.0,1.0,15.875,6.375,12.194500000000001,,,
2023-07-25,Persistence,8.0,10.0,8.0,0.3333333333333333,7.5,7.375,8.344624999999999,,,
2023-07-25,HistoricalMedian,8.0,9.0,6.0,0.8333333333333334,5.166666666666667,7.833333333333333,4.4165833333333335,1.0,0.8333333333333334,1.0
2023-07-25,ConformalRobust,8.0,9.0,6.0,0.8333333333333334,18.833333333333332,12.333333333333334,7.574333333333333,,,
2023-07-26,Persistence,10.0,9.0,6.0,1.1666666666666667,11.333333333333334,13.166666666666666,11.429333333333334,,,
2023-07-26,HistoricalMedian,10.0,7.0,6.0,0.8333333333333334,14.666666666666666,7.5,14.000083333333334,0.6666666666666666,1.0,0.8333333333333334
2023-07-26,ConformalRobust,10.0,7.0,6.0,0.8333333333333334,15.0,8.833333333333334,7.889833333333333,,,
2023-07-27,Persistence,7.0,10.0,6.0,0.8333333333333334,13.666666666666666,16.666666666666668,6.232666666666667,,,
2023-07-27,HistoricalMedian,7.0,11.0,7.0,0.6666666666666666,16.714285714285715,14.714285714285714,6.577571428571429,0.5714285714285714,1.0,1.0
2023-07-27,ConformalRobust,7.0,11.0,7.0,0.6666666666666666,12.571428571428571,12.714285714285714,8.784428571428572,,,
2023-07-28,Persistence,5.0,10.0,4.0,1.1666666666666667,11.25,24.0,10.239749999999999,,,
2023-07-28,HistoricalMedian,5.0,12.0,5.0,1.1666666666666667,5.6,16.2,6.131600000000001,1.0,0.8,1.0
2023-07-28,ConformalRobust,5.0,12.0,5.0,1.1666666666666667,17.8,12.4,10.417,,,
2023-07-29,Persistence,8.0,6.0,4.0,1.0,5.5,8.0,7.1579999999999995,,,
2023-07-29,HistoricalMedian,8.0,6.0,4.0,1.0,4.5,11.0,6.303125,1.0,1.0,1.0
