driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
26563421,2023-07-01T06:34:59.0,2023-07-01T23:32:08.0,13.336,UCSD / BACHMAN EV2,2,weekend,6.57,23.53,4.445333333333333
40096521,2023-07-01T06:45:53.0,2023-07-01T09:36:33.0,13.704,UCSD / ECPS WEST,1,weekend,6.75,9.6,4.5680000000000005
29383931,2023-07-01T06:47:16.0,2023-07-01T12:13:03.0,27.83,UCSD / NUEVO WEST 1-2,1,weekend,6.79,12.21,9.276666666666666
20285561,2023-07-01T07:05:06.0,2023-07-01T17:50:16.0,5.924,UCSD / SOM P602 1,2,weekend,7.09,17.83,1.9746666666666668
474747,2023-07-01T07:09:03.0,2023-07-01T09:16:39.0,10.74,UCSD / GILMAN 2-2,2,weekend,7.15,9.26,3.58
612049,2023-07-01T07:38:04.0,2023-07-01T09:15:05.0,3.142,UCSD / BACHMAN EV2,1,weekend,7.64,9.25,1.0473333333333332
25984601,2023-07-01T08:05:47.0,2023-07-01T09:21:32.0,7.124,UCSD / P013,2,weekend,8.09,9.35,2.3746666666666667
807359,2023-07-01T08:29:13.0,2023-07-01T11:30:25.0,9.223,UCSD / OSLER 4-1,2,weekend,8.49,11.5,3.0743333333333336
34568161,2023-07-01T08:32:10.0,2023-07-01T15:08:51.0,21.115,UCSD / P610 3,1,weekend,8.54,15.13,7.038333333333333
35171291,2023-07-01T08:34:39.0,2023-07-01T11:55:38.0,19.262,UCSD / RADY P357 1,1,weekend,8.57,11.91,6.4206666666666665
26680181,2023-07-01T08:36:03.0,2023-07-01T16:07:42.0,5.531,UCSD / NUEVO WEST 1-1,1,weekend,8.6,16.11,1.8436666666666666
3920521,2023-07-01T08:38:17.0,2023-07-01T12:09:30.0,21.638,UCSD / NUEVO WEST 3-2,2,weekend,8.64,12.15,7.212666666666667
3090841,2023-07-01T08:43:07.0,2023-07-01T11:33:18.0,12.391,UCSD / P610 1,1,weekend,8.72,11.55,4.130333333333334
35469831,2023-07-01T08:48:27.0,2023-07-01T09:48:08.0,3.395,UCSD / RADY P357 3,2,weekend,8.81,9.8,1.1316666666666666
1306301,2023-07-01T09:12:00.0,2023-07-01T10:51:36.0,5.243,UCSD / HUBBS HALL 2,1,weekend,9.2,10.85,1.7476666666666667
34696141,2023-07-01T09:35:55.0,2023-07-01T18:15:33.0,18.292,UCSD / ATHENA EV4,2,weekend,9.59,18.25,6.097333333333334
27892541,2023-07-01T09:47:35.0,2023-07-01T13:42:45.0,24.172,UCSD / OSLER 2-4,1,weekend,9.79,13.7,8.057333333333334
2693181,2023-07-01T10:07:51.0,2023-07-01T12:24:40.0,13.181,UCSD / OSLER 3-3,2,weekend,10.12,12.4,4.393666666666666
257211V,2023-07-01T10:20:12.0,2023-07-01T12:04:57.0,1.401,UCSD / RADY P357 3,2,weekend,10.34,12.06,0.467
2271931,2023-07-01T10:23:29.0,2023-07-01T18:39:50.0,7.011,UCSD / GILMAN 2-3,2,weekend,10.39,18.64,2.337
28556521,2023-07-01T10:31:42.0,2023-07-01T13:49:48.0,12.933,UCSD / OSLER 4-1,1,weekend,10.52,13.81,4.311
3683451,2023-07-01T10:57:38.0,2023-07-01T12:10:40.0,4.18,UCSD / BIRCH AQUARIUM,1,weekend,10.95,12.16,1.3933333333333333
