driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
27872241,2023-07-03T08:25:40.0,2023-07-03T17:21:07.0,52.189,UCSD / GREENWICH 2,1,weekday,8.42,17.35,52.189
39935621,2023-07-03T08:26:13.0,2023-07-03T12:16:23.0,21.457,UCSD / OSLER 4-2,1,weekday,8.44,12.26,21.457
232671V,2023-07-03T08:27:35.0,2023-07-03T09:41:13.0,3.9,UCSD / SIO P001 2,1,weekday,8.45,9.68,3.9
4846321,2023-07-03T08:29:33.0,2023-07-03T21:27:09.0,12.096,UCSD / ECPS EAST,2,weekday,8.49,21.45,12.096
38547331,2023-07-03T08:32:55.0,2023-07-03T18:15:36.0,28.433,UCSD / RADY P357 3,1,weekday,8.54,18.25,28.433
25787201,2023-07-03T08:33:46.0,2023-07-03T15:46:15.0,43.664,UCSD / SIO P001 2,2,weekday,8.56,15.76,43.664
30673591,2023-07-03T08:46:20.0,2023-07-03T13:42:59.0,5.247,UCSD / OSLER 4-1,1,weekday,8.77,13.7,5.247
4698501,2023-07-03T08:48:01.0,2023-07-03T14:35:57.0,31.236,UCSD / RADY P357 1,1,weekday,8.81,14.58,31.236
1066451,2023-07-03T08:48:45.0,2023-07-03T19:25:05.0,6.743,UCSD / TORREYPINES S4,2,weekday,8.81,19.41,6.743
26111451,2023-07-03T08:55:02.0,2023-07-03T12:03:41.0,2.515,UCSD / ATHENA EV5,1,weekday,8.92,12.05,2.515
37486291,2023-07-03T08:56:34.0,2023-07-03T13:54:59.0,21.229,UCSD / BACHMAN EV2,1,weekday,8.94,13.9,21.229
32286341,2023-07-03T08:58:23.0,2023-07-03T09:55:04.0,5.0,UCSD / OSLER 3-2,2,weekday,8.97,9.91,5.0
34090381,2023-07-03T08:58:36.0,2023-07-03T13:31:57.0,5.922,UCSD / OSLER 2-2,1,weekday,8.97,13.51,5.922
2585791,2023-07-03T08:58:38.0,2023-07-03T11:53:03.0,4.943,UCSD / OSLER 4-3,2,weekday,8.97,11.88,4.943
30028761,2023-07-03T08:58:46.0,2023-07-03T15:20:40.0,38.982,UCSD / TORREYPINES S3,1,weekday,8.97,15.33,38.982
449711,2023-07-03T09:03:29.0,2023-07-03T17:34:29.0,4.838,UCSD / OSLER 2-3,2,weekday,9.06,17.56,4.838
3433541,2023-07-03T09:08:07.0,2023-07-03T13:55:55.0,27.669,UCSD / TORREYPINES C1,1,weekday,9.14,13.91,27.669
30739311,2023-07-03T09:08:31.0,2023-07-03T11:51:24.0,16.186,UCSD / OSLER 2-1,1,weekday,9.14,11.85,16.186
679443,2023-07-03T09:11:10.0,2023-07-03T12:15:50.0,11.622,UCSD / SCHOLARS - 13,1,weekday,9.19,12.25,11.622
630813,2023-07-03T09:12:26.0,2023-07-03T12:30:39.0,5.632,UCSD / SCHOLARS - 02,2,weekday,9.2,12.5,5.632
31943771,2023-07-03T09:17:23.0,2023-07-03T12:17:29.0,17.719,UCSD / OSLER 4-3,1,weekday,9.29,12.28,17.719
