driver_id,session_start_time_la,session_end_time_la,total_energy_dispensed,station_name,port,type,AT,DT,ED
36203831,2023-06-25T15:14:11.0,2023-06-25T15:57:43.0,4.252,UCSD / MESA NUEVO 5,1,weekend,15.24,15.95,4.252
693759,2023-06-25T15:24:15.0,2023-06-25T20:38:25.0,5.47,UCSD / ARBOR PARKING 6,1,weekend,15.4,20.63,5.47
501597,2023-06-25T15:31:33.0,2023-06-25T18:42:19.0,18.419,UCSD / KECK,2,weekend,15.52,18.7,18.419
20164061,2023-06-25T15:33:31.0,2023-06-25T18:05:09.0,5.622,UCSD / SOM P602 1,2,weekend,15.55,18.08,5.622
32289671,2023-06-25T15:44:38.0,2023-06-25T20:36:39.0,2.601,UCSD / UCSD MIRAMAR S1,2,weekend,15.74,20.6,2.601
1066451,2023-06-25T15:47:09.0,2023-06-25T19:11:12.0,10.894,UCSD / TORREYPINES C1,1,weekend,15.79,19.18,10.894
26975341,2023-06-25T15:53:55.0,2023-06-25T16:56:18.0,3.026,UCSD / RADY P357 5,2,weekend,15.89,16.93,3.026
38787321,2023-06-25T15:58:22.0,2023-06-25T18:14:43.0,13.277,UCSD / RADY P357 2,1,weekend,15.97,18.23,13.277
24722121,2023-06-25T16:08:03.0,2023-06-25T18:36:41.0,5.557,UCSD / MESA NUEVO 5,1,weekend,16.14,18.6,5.557
3972851,2023-06-25T16:09:03.0,2023-06-25T16:55:14.0,4.534,UCSD / SCHOLARS - 01,1,weekend,16.15,16.91,4.534
19776061,2023-06-25T16:12:56.0,2023-06-25T17:44:32.0,8.123,UCSD / SIO P001 1,2,weekend,16.2,17.73,8.123
30562621,2023-06-25T16:17:10.0,2023-06-25T17:55:25.0,9.411,UCSD / P013,2,weekend,16.29,17.91,9.411
1601431,2023-06-25T17:29:36.0,2023-06-25T18:16:25.0,4.178,UCSD / OSLER 4-2,2,weekend,17.49,18.26,4.178
26039711,2023-06-25T17:50:09.0,2023-06-25T18:53:29.0,5.501,UCSD / ECPS EAST,2,weekend,17.84,18.88,5.501
38913431,2023-06-25T19:09:09.0,2023-06-25T20:28:22.0,7.002,UCSD / BIRCH AQUARIUM,2,weekend,19.15,20.46,7.002
2541371,2023-06-25T19:33:03.0,2023-06-25T21:52:33.0,5.53,UCSD / OSLER 4-2,1,weekend,19.55,21.86,5.53
32896901,2023-06-25T22:03:15.0,2023-06-25T23:50:18.0,8.239,UCSD / GILMAN 3-1,2,weekend,22.05,23.83,8.239
2541371,2023-06-25T22:16:49.0,2023-06-25T23:40:25.0,1.61,UCSD / OSLER 4-2,1,weekend,22.27,23.66,1.61
33167371,2023-06-25T22:26:27.0,2023-06-25T23:50:24.0,8.422,UCSD / P610 3,1,weekend,22.44,23.83,8.422
