task,model,comparison_scope,entity_count,train_target_days,validation_target_days,test_target_days,context_days,anchor_slots,scope_energy_coverage,operational_terminal_energy_mae_kwh,operational_terminal_energy_wape,raw_valid_signature_rate,projected_valid_signature_rate,projection_mean_absolute_adjustment,aggregate_lower_curve_mae_kwh,aggregate_upper_curve_mae_kwh,aggregate_occupied_equivalent_mae,aggregate_terminal_energy_mae_kwh,aggregate_terminal_energy_wape,aggregate_flexibility_width_mae_kwh,scope_test_energy_kwh,actual_active_rate,predicted_active_rate,participation_precision,participation_recall,participation_f1,raw_aggregate_lower_curve_mae_kwh,raw_aggregate_upper_curve_mae_kwh,raw_aggregate_occupied_equivalent_mae,raw_aggregate_terminal_energy_mae_kwh,raw_aggregate_terminal_energy_wape,raw_aggregate_flexibility_width_mae_kwh,validation_weighted_mse,epochs_completed,parameter_count,runtime_seconds,seed
ChargerMatched,Ridge,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,0.0,1.0,0.24858564138412476,9.73094654083252,10.849984169006348,0.3385202884674072,14.620405197143555,8.998754501342773,1.2952706813812256,11.373000144958496,0.047619047619047616,0.8809523809523809,0.05405405405405406,1.0,0.10256410256410257,9.775116920471191,10.588632583618164,0.28470009565353394,14.169142723083496,8.7210054397583,1.6149873733520508,nan,0,0,0.06150570800036803,20260730
ChargerMatched,DLinear,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,0.0,1.0,0.837043046951294,12.224135398864746,13.181201934814453,0.34583285450935364,18.36374282836914,11.302752494812012,1.0356369018554688,11.373000144958496,0.047619047619047616,0.9047619047619048,0.05263157894736842,1.0,0.1,12.677162170410156,18.18222427368164,0.38086429238319397,17.83769416809082,10.978973388671875,9.123106002807617,2.130748152662018,3,148,0.08749454200005857,20260730
ChargerMatched,LSTM,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,0.0,1.0,0.18696936964988708,11.585968971252441,12.00147819519043,0.2741021513938904,16.782649993896484,10.32960033416748,0.7674052715301514,11.373000144958496,0.047619047619047616,1.0,0.047619047619047616,1.0,0.0909090909090909,11.433040618896484,12.778223991394043,0.27475598454475403,15.30062198638916,9.417423248291016,3.0189762115478516,1.652450443659945,3,7322,0.23795791599968652,20260730
ChargerMatched,TCN,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,0.0,1.0,0.14595703780651093,11.017749786376953,12.510207176208496,0.3884424567222595,17.02166748046875,10.476714134216309,1.5219793319702148,11.373000144958496,0.047619047619047616,1.0,0.047619047619047616,1.0,0.0909090909090909,10.597952842712402,13.042421340942383,0.3884424567222595,14.801304817199707,9.11009693145752,3.7041945457458496,1.634431083076282,3,5530,0.6654849579999791,20260730
ChargerMatched,iTransformer,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,0.0,1.0,1.00474214553833,8.743946075439453,9.646387100219727,0.2183922976255417,13.109003067016602,8.068497657775879,1.1134265661239624,11.373000144958496,0.047619047619047616,0.8571428571428571,0.05555555555555555,1.0,0.10526315789473684,9.151446342468262,14.109694480895996,0.3150038719177246,13.686623573303223,8.424018859863281,12.142662048339844,1.7887129712798946,3,14331,0.6173297499999535,20260730
ChargerMatched,FeasibleDLinear,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,1.0,1.0,0.0,146.62081909179688,155.85646057128906,2.8983330726623535,249.77284240722656,153.7333984375,9.235637664794922,11.373000144958496,0.047619047619047616,1.0,0.047619047619047616,1.0,0.0909090909090909,146.62081909179688,155.85646057128906,2.8983330726623535,249.77284240722656,153.7333984375,9.235637664794922,26.350319312147207,3,148,0.09758245800003351,20260730
ChargerMatched,FeasibleTCN,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,1.0,1.0,0.0,90.30416107177734,95.13712310791016,2.458425283432007,164.51708984375,101.25908660888672,4.832961082458496,11.373000144958496,0.047619047619047616,1.0,0.047619047619047616,1.0,0.0909090909090909,90.30416107177734,95.13712310791016,2.458425283432007,164.51708984375,101.25908660888672,4.832961082458496,8.863695621773804,3,5530,0.6820561250005994,20260730
ChargerMatched,FeasibleITransformer,matched_recurring_ev,6,427,91,7,28,32;48;64;80;84;96,0.01884959826739902,nan,nan,1.0,1.0,0.0,2.141470432281494,2.497657537460327,0.3163824677467346,3.9142704010009766,2.409205436706543,0.4474794864654541,11.373000144958496,0.047619047619047616,0.47619047619047616,0.05,0.5,0.09090909090909091,2.141470432281494,2.497657537460327,0.3163824677467346,3.9142704010009766,2.409205436706543,0.4474794864654541,1.8258723929320781,3,14331,0.6250026660000003,20260730
ChargerFull,SeasonalNaive,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,38.996856689453125,0.45243343710899353,1.0,1.0,1.1984002235010394e-08,26.34749984741211,27.207475662231445,0.6733630895614624,38.996856689453125,0.45243343710899353,4.336119174957275,603.3550415039062,0.7380952380952381,0.7857142857142857,0.7575757575757576,0.8064516129032258,0.7812499999999999,26.34749984741211,27.207475662231445,0.6733630895614624,38.996856689453125,0.45243343710899353,4.336119174957275,nan,0,0,0.001291417000174988,20260730
ChargerFull,Ridge,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,39.50724411010742,0.4583548605442047,0.047619047619047616,1.0,0.556293249130249,27.20821762084961,30.402544021606445,0.7040404677391052,39.50724411010742,0.4583548605442047,6.046263694763184,603.3550415039062,0.7380952380952381,0.9523809523809523,0.75,0.967741935483871,0.8450704225352113,26.676198959350586,30.654619216918945,0.6876537203788757,39.02329635620117,0.4527401924133301,7.028743743896484,nan,0,0,0.062067875000138883,20260730
ChargerFull,DLinear,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,29.3602237701416,0.3406312167644501,0.0,1.0,1.7662208080291748,22.80802345275879,25.798917770385742,0.8343129754066467,29.3602237701416,0.3406312167644501,6.785414695739746,603.3550415039062,0.7380952380952381,0.9047619047619048,0.8157894736842105,1.0,0.898550724637681,27.06609535217285,30.620576858520508,0.919467031955719,34.160621643066406,0.3963244557380676,20.514083862304688,2.0017911783854165,3,148,0.08680629099944781,20260730
ChargerFull,LSTM,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,32.63619613647461,0.378638356924057,0.0,1.0,0.3624435365200043,24.21392059326172,28.80484390258789,0.7936162352561951,32.63619613647461,0.378638356924057,7.514151573181152,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,26.006319046020508,28.824649810791016,0.7938718199729919,33.83953094482422,0.3925991952419281,11.233667373657227,1.6265717012138776,3,7322,0.23844499999995605,20260730
ChargerFull,TCN,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,35.30573272705078,0.4096097946166992,0.0,1.0,0.45274272561073303,25.07070541381836,28.35247230529785,0.9551125764846802,35.30573272705078,0.4096097946166992,7.7378716468811035,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,26.444692611694336,30.140615463256836,0.9551125764846802,33.0911750793457,0.3839169442653656,11.642906188964844,1.5162233020413307,3,5530,0.6721638330000133,20260730
ChargerFull,iTransformer,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,36.53298568725586,0.42384812235832214,0.0,1.0,2.2294154167175293,26.7298583984375,29.749746322631836,0.8162356019020081,36.53298568725586,0.42384812235832214,7.9315643310546875,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,30.048513412475586,35.81524658203125,0.8542485237121582,33.40553665161133,0.387564092874527,26.984018325805664,1.6043591658616152,3,14331,0.6088779169995178,20260730
ChargerFull,FeasibleDLinear,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,159.0085906982422,1.8447847366333008,1.0,1.0,0.0,90.5630111694336,91.33880615234375,2.1898128986358643,159.0085906982422,1.8447847366333008,10.26860237121582,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,90.5630111694336,91.33880615234375,2.1898128986358643,159.0085906982422,1.8447847366333008,10.26860237121582,4.71677247843862,3,148,0.09747349999997823,20260730
ChargerFull,FeasibleTCN,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,58.63286209106445,0.6802462935447693,1.0,1.0,0.0,32.24605178833008,32.37987518310547,1.7026454210281372,58.63286209106445,0.6802462935447693,7.857016563415527,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,32.24605178833008,32.37987518310547,1.7026454210281372,58.63286209106445,0.6802462935447693,7.857016563415527,2.4087908126120072,3,5530,0.6895770840001205,20260730
ChargerFull,FeasibleITransformer,full_six_charger,6,427,91,7,28,32;48;64;80;84;96,1.0,36.21122360229492,0.4201151132583618,1.0,1.0,0.0,29.635587692260742,34.03609085083008,0.9448859095573425,36.21122360229492,0.4201151132583618,7.0696563720703125,603.3550415039062,0.7380952380952381,1.0,0.7380952380952381,1.0,0.8493150684931507,29.635587692260742,34.03609085083008,0.9448859095573425,36.21122360229492,0.4201151132583618,7.0696563720703125,1.8248759870631721,3,14331,0.6238455410002643,20260730
